Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings,is public
1,University of California-Irvine,Irvine. CA,1260,29,35.4,14.9,0.66,16.5,57.7,1
2,CUNY Bernard M. Baruch College,New York. NY,1270,NA,33.2,4.9,0.55,10.72,57.1,1
3,Princeton University,Princeton. NJ,1500,33,69.1,17.4,0.58,7.5,72.7,0
4,University of California-Los Angeles,Los Angeles. CA,1340,32,35.4,15.8,0.59,15,60,1
5,University of California-Davis,Davis. CA,1250,29,37.3,17.6,0.67,14,59.4,1
6,Stanford University,Stanford. CA,1470,34,72.2,17.7,0.6,11.45,76.5,0
7,Massachusetts Institute of Technology,Cambridge. MA,1530,34,70.4,23.7,0.68,17.13,83.6,0
8,University of Michigan-Ann Arbor,Ann Arbor. MI,1420,32,30.8,17.5,0.52,19.15,62,1
9,University of California-San Diego,La Jolla. CA,1310,30,33.6,15.6,0.58,17.5,61.3,1
10,University of Virginia,Charlottesville. VA,1410,31,33.6,17.7,0.42,19,62.3,1
11,University of California-Berkeley,Berkeley. CA,1370,32,38.6,19.4,0.57,13.2,68.3,1
12,University of California-Riverside,Riverside. CA,1200,26,36.2,13.2,0.81,19,54,1
13,California State University-Long Beach,Long Beach. CA,1130,23,25.1,10.3,0.7,15,51.1,1
14,Harvard University,Cambridge. MA,1530,34,72.7,18.2,0.43,6.1,72.6,0
15,Vanderbilt University,Nashville. TN,1510,34,70.4,24.9,0.65,14.5,63.8,0
16,California Institute of Technology,Pasadena. CA,1560,35,72,26.1,0.61,12.18,83.4,0
17,Yale University,New Haven. CT,1520,34,74.5,19.3,0.52,12,68.3,0
18,Texas A & M University-College Station,College Station. TX,1250,28,29.7,20.9,0.54,18.52,59,1
19,Duke University,Durham. NC,1460,33,75,23.5,0.53,9.2,68.7,0
20,University of Illinois at Urbana-Champaign,Champaign. IL,1420,29,31.4,17.8,0.51,20.13,61,1
21,University of Florida,Gainesville. FL,1320,30,22.1,16.3,0.83,16.2,54.2,1
22,California State University-Fullerton,Fullerton. CA,1100,22,28.6,9.1,0.65,14.8,49.4,1
22,University of Washington-Seattle Campus,Seattle. WA,1310,30,27.8,10.1,0.44,15,59.9,1
24,Rice University,Houston. TX,1540,34,66,25.8,0.61,11.2,69.2,0
25,Massachusetts Maritime Academy,Buzzards Bay. MA,1120,23,26.8,15.5,0.48,26.93,67.2,1
26,Washington and Lee University,Lexington. VA,1420,32,68.9,26.7,0.57,19.92,63.2,0
27,Georgia Institute of Technology,Atlanta. GA,1310,32,30,16.9,0.62,23.75,70.8,1
28,The University of Texas at Austin,Austin. TX,1340,30,26.6,15.3,0.5,21.5,59.1,1
29,California State University-Northridge,Northridge. CA,1020,20,23.1,6.4,0.7,13.83,49.6,NA
30,University of California-Santa Barbara,Santa Barbara. CA,1300,31,37.7,17.2,0.62,16.3,57.3,1
30,University of Notre Dame,Notre Dame. IN,1450,33,72.5,29.3,0.62,21.43,64.7,0
32,University of Pennsylvania,Philadelphia. PA,1490,34,74.9,26.2,0.53,12.99,70.1,0
33,Binghamton University,Vestal. NY,1360,30,27.3,17.9,0.51,19.5,58.9,1
34,Virginia Polytechnic Institute and State University,Blacksburg. VA,1270,28,27.4,20,0.49,23.25,60.9,1
35,CUNY Brooklyn College,Brooklyn. NY,1130,NA,36.5,4.4,0.61,10.5,50.1,1
36,California State University-Los Angeles,Los Angeles. CA,990,18,26,4.2,0.83,12.5,49.2,NA
37,Swarthmore College,Swarthmore. PA,1460,33,71.9,21.8,0.58,19.5,63.8,0
38,Bates College,Lewiston. ME,NA,NA,71.9,24.9,0.46,14.12,57.5,0
